rank,title,authors,year,venue,url,tldr,application
1,Automatic Question & Answer Generation Using Generative LLM,Multiple,2025,arXiv,https://arxiv.org/abs/2508.19475,Fine-tuned Llama-2 with prompt engineering for MCQ/conceptual/factual QG using RACE dataset,Direct blueprint for quiz generation module — use their prompt templates and RACE eval methodology
2,Automatic MCQ Generation and Evaluation,Multiple,2025,COLING,https://aclanthology.org/2025.coling-main.154.pdf,PDF to glossary to question pipeline with LLM-based quality judging,Adopt their 3-stage pipeline (glossary extraction to preliminary QG to quality review) for quiz module
3,LLM-Guided Controllable Question Generation,Multiple,2024,ACL Findings,https://aclanthology.org/2024.findings-acl.280.pdf,Planning-first approach to QG with controllable dimensions (local vs summary explicit vs implicit),Use their taxonomy of question types to generate diverse quiz questions not just factual recall
4,What Should I Learn First: LectureBank,Li et al.,2019,AAAI,https://arxiv.org/abs/1811.12181,1352 lecture files + 208 prerequisite topic pairs for educational NLP,Use LectureBank prerequisite annotations to train/evaluate concept graph prerequisite detection
5,Deep Knowledge Tracing,Piech et al.,2015,NeurIPS,https://stanford.edu/~cpiech/bio/papers/deepKnowledgeTracing.pdf,LSTM-based model tracking student knowledge state over time from interaction sequences,Inspires weak-topic detection — sequential modeling of quiz responses to predict mastery
6,BKT-LSTM: Efficient Student Modeling,Multiple,2020,arXiv,https://arxiv.org/abs/2012.12218,Hybrid BKT+LSTM combining interpretability of Bayesian KT with deep learning accuracy,Simplified scoring model takes the BKT probability framework and adds modern signals
7,iText2KG: Incremental Knowledge Graphs Using LLMs,Multiple,2024,WISE,https://arxiv.org/html/2409.03284v1,Zero-shot KG construction with Document Distiller + entity/relation extraction + graph integration,Direct integration — use iText2KG 4-module pipeline for building concept graphs from lecture content
8,LLM-empowered Knowledge Graph Construction Survey,Multiple,2025,arXiv,https://arxiv.org/html/2510.20345v1,Comprehensive survey of LLM approaches to KG construction: extract define canonicalize,Validates LLM-based concept extraction approach; adopt the EDC framework
9,Comprehensive Taxonomy of Prompt Engineering,Liu et al.,2026,Frontiers CS,https://jamesthez.github.io/files/liu-fcs26.pdf,Taxonomy of prompt techniques: structure examples output format all matter for LLM quality,Guides prompt template design for QG summarization and concept extraction
10,FSRS: Free Spaced Repetition Scheduler,Ye et al.,2023-2025,Open Source,https://github.com/open-spaced-repetition/fsrs4anki/wiki/The-Algorithm,DSR-model based scheduling that outperforms SM-2 by 20-30% fewer reviews for same retention,Adopt FSRS difficulty/stability/retrievability model for review scheduling and weak-topic scoring
